accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAR88841	332	Avian	H5N2	Mexico	1994	Influenza A virus (A/chicken/Mexico/232/94 (H5N2))
AAR90879	235	Swine	H3N1	Taiwan	2003	Influenza A virus (A/swine/Changhua/72-10 clone B5/2003(H3N1))
AAR90881	566	Swine	H1N2	Taiwan	2003	Influenza A virus (A/swine/Pingtung/92-2/2003(H1N2))
AAR96248	560	Seal	H7N7	USA	1980	Influenza A virus (A/seal/Mass/1/1980(H7N7))
AAR98819	100	Human	H5N1	Viet Nam	2004	Influenza A virus (A/Vietnam/1196/2004(H5N1))
AAR98872	560	Avian	H9N2	China	2000	Influenza A virus (A/chicken/Mudanjiang/0823/2000(H9N2))
AAR99628	567	Avian	H5N1	China	2003	Influenza A virus (A/duck/China/E319-2/03(H5N1))
AAS07023	565	Avian	H5N2	United Kingdom	1973	Influenza A virus (A/turkey/England/N28/73(H5N2))
AAS45134	256	Avian	H5	Canada	1966	Influenza A virus (A/turkey/Ontario/6213/66(H5N?))
AAS48376	146	Avian	H9N2	Israel	2001	Influenza A virus (A/turkey/Givat Haim/810/01 (H9N2))
AAS48377	146	Avian	H9N2	Israel	2001	Influenza A virus (A/chicken/Tel Adashim/811/2001(H9N2))
AAS48378	146	Avian	H9N2	Israel	2001	Influenza A virus (A/chicken/Tel Adashim/812/2001(H9N2))
AAS48379	146	Avian	H9N2	Israel	2000	Influenza A virus (A/turkey/Neve Ilan/90710/2000(H9N2))
AAS48380	146	Avian	H9N2	Israel	2004	Influenza A virus (A/chicken/Trofa/1568/04(H9N2))
AAS48381	146	Avian	H9N2	Israel	2004	Influenza A virus (A/turkey/Shadmot Dvorah/1567/04(H9N2))
AAS48382	146	Avian	H9N2	Israel	2004	Influenza A virus (A/turkey/Beit HaLevi/1566/04(H9N2))
AAS48383	146	Avian	H9N2	Israel	2004	Influenza A virus (A/turkey/Beit HaLevi/1562/04 (H9N2))
AAS48384	146	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Givat Haim/965/2002(H9N2))
AAS48385	146	Avian	H9N2	Israel	2003	Influenza A virus (A/chicken/Larah/1376/03 (H9N2))
AAS48386	146	Avian	H9N2	Israel	2003	Influenza A virus (A/chicken/Netohah/1373/03 (H9N2))
AAS48387	146	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Kfar Vitkin/615/2002(H9N2))
AAS48388	146	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Kfar Vitkin/616/2002(H9N2))
AAS48389	146	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Mishmar Hasharon/619/2002(H9N2))
AAS48390	146	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Yedidia/625/02 (H9N2))
AAS48391	146	Avian	H9N2	Israel	2001	Influenza A virus (A/chicken/Tel Adashim/786/2001(H9N2))
AAS48392	146	Avian	H9N2	Israel	2001	Influenza A virus (A/chicken/Tel Adashim/809/01 (H9N2))
AAS50166	102	Avian	H5N1	Thailand	2004	Influenza A virus (A/quail/Thailand/KTHF/2004(H5N1))
AAS50167	102	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/KHHF/4NP25/2004(H5N1))
AAS57527	347	Avian	H2N3	Japan	2001	Influenza A virus (A/duck/Hokkaido/107/01(H2N3))
AAS57528	347	Avian	H2N3	Japan	2001	Influenza A virus (A/duck/Hokkaido/17/2001(H2N3))
AAS57529	347	Avian	H2N3	Japan	2001	Influenza A virus (A/duck/Hokkaido/86/01(H2N3))
AAS57530	347	Avian	H2N2	Japan	2001	Influenza A virus (A/duck/Hokkaido/95/01(H2N2))
AAS57873	96	Leopard	H5N1	Thailand	2004	Influenza A virus (A/leopard/Thailand/TM3/2004(H5N1))
AAS57874	95	Leopard	H5N1	Thailand	2004	Influenza A virus (A/leopard/Thailand/TLV3/2004(H5N1))
AAS57875	96	Tiger	H5N1	Thailand	2004	Influenza A virus (A/tiger/Thailand/TLV1/2004(H5N1))
AAS57876	96	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/CKF1/2004(H5N1))
AAS65615	571	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/1(KAN-1)/2004(H5N1))
AAS65618	568	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/2(SP-33)/2004(H5N1))
AAS68158	346	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/CN6/04(H7N3))
AAS79356	476	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Vietnam/CM/2004(H5N1))
AAS79359	507	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/muscovy duck/Vietnam/MdGL/2004(H5N1))
AAS84247	367	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phitsanulok-01/2004(H5N1))
AAS84248	363	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Sukhothai-01/2004(H5N1))
AAS84249	363	Avian	H5N1	Thailand	2004	Influenza A virus (A/duck/Thailand/Phichit-01/2004(H5N1))
AAS84250	360	Avian	H5N1	Thailand	2004	Influenza A virus (A/partridge/Thailand/Uttaradit-01/2004(H5N1))
AAS84251	359	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Uttaradit-01/2004(H5N1))
AAS84252	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Uttaradit-02/2004(H5N1))
AAS84253	364	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Uthaithani-01/2004(H5N1))
AAS84254	364	Avian	H5N1	Thailand	2004	Influenza A virus (A/partridge/Thailand/Sukhothai-01/2004(H5N1))
AAS84255	369	Avian	H5N1	Thailand	2004	Influenza A virus (A/duck/Thailand/Sukhothai-01/2004(H5N1))
AAS84256	355	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phitsanulok-02/2004(H5N1))
AAS84257	363	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phitsanulok-03/2004(H5N1))
AAS84258	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phichit-01/2004(H5N1))
AAS84259	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Kamphaengphet-01/2004(H5N1))
AAS84260	364	Avian	H5N1	Thailand	2004	Influenza A virus (A/duck/Thailand/Kamphaengphet-01/2004(H5N1))
AAS84261	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Nakornsawan-02/2004(H5N1))
AAS84262	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phetchabun-01/2004(H5N1))
AAS84263	365	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Phetchabun-02/2004(H5N1))
AAS84264	362	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Sukhothai-02/2004(H5N1))
AAS84265	568	Avian	H5N1	Thailand	2004	Influenza A virus (A/little grebe/Thailand/Phichit-01/2004(H5N1))
AAS84266	359	Avian	H5N1	Thailand	2004	Influenza A virus (A/muscovy duck/Thailand/Tak-01/2004(H5N1))
AAS84267	349	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Pathumthani-01/2004(H5N1))
AAS84268	352	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Bangkok-01/2004(H5N1))
AAS84269	348	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Bangkok-02/2004(H5N1))
AAS84270	359	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Udonthani-01/2004(H5N1))
AAS84271	354	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Udonthani-02/2004(H5N1))
AAS84272	359	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Udonthani-03/2004(H5N1))
AAS84273	359	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Mahasarakham-01/2004(H5N1))
AAS84274	304	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Khonkaen-01/2004(H5N1))
AAS84275	366	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Nakornsawan-01/2004(H5N1))
AAS84276	364	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/Tak-01/2004(H5N1))
AAS87577	507	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Vietnam/HD1/2004(H5N1))
AAS87580	448	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Vietnam/HD2/2004(H5N1))
AAS87596	564	Avian	H5N2	Taiwan	2003	Influenza A virus (A/chicken/Taiwan/1209/2003(H5N2))
AAS89004	568	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/3(SP-83)/2004(H5N1))
AAS89267	242	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/CU-K1/2004(H5N1))
AAS89268	570	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Nakorn-Patom/Thailand/CU-K2/2004(H5N1))
AAS89269	542	Avian	H5N1	Thailand	2004	Influenza A virus (A/kalij pheasant/Thailand/CU-4/2004(H5N1))
AAS89270	421	Avian	H5N1	Thailand	2004	Influenza A virus (A/white peafowl/Thailand/CU-11/2004(H5N1))
AAS89271	105	Leopard	H5N1	Thailand	2004	Influenza A virus (A/leopard/Thailand/CU-MD/2004(H5N1))
AAS89272	77	Avian	H5N1	Thailand	2004	Influenza A virus (A/crow/Thailand/CU-KAF3/2004(H5N1))
AAS89273	537	Avian	H5N1	Thailand	2004	Influenza A virus (A/open-billed stork/Thailand/CU-2/2004(H5N1))
AAS89274	132	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Nakorn-Patom/Thailand/CU-K3/2004(H5N1))
AAS89275	148	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Nakorn-Patom/Thailand/CU-K3/2004(H5N1))
AAS89276	160	Avian	H5N1	Thailand	2004	Influenza A virus (A/quail/Thailand/CU-KTH/2004(H5N1))
AAS89277	103	Avian	H5N1	Thailand	2004	Influenza A virus (A/quail/Thailand/CU-KTH/2004(H5N1))
AAS93870	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Pusan/504/2002(H3N2))
AAS93871	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheju/274/2002(H3N2))
AAS93872	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheju/311/2002(H3N2))
AAS93873	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheonnam/323/2002(H3N2))
AAS93874	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheonnam/338/2002(H3N2))
AAS93875	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheonnam/340/2002(H3N2))
AAS93876	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Cheonnam/432/2002(H3N2))
AAS93877	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Chungnam/447/2002(H3N2))
AAS93878	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Daejeon/258/2002(H3N2))
AAS93879	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Daejeon/390/2002(H3N2))
AAS93880	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Incheon/260/2002(H3N2))
AAS93881	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Kwangju/219/2002(H3N2))
AAS93882	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Kwangju/243/2002(H3N2))
AAS93883	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Kyongbuk/320/2002(H3N2))
AAS93884	550	Human	H3N2	South Korea	2002	Influenza A virus (A/Kyongnam/347/2002(H3N2))
AAT00436	345	Swine	H1N2	Belgium	2001	Influenza A virus (A/sw/Gent/108/01(H1N2))
AAT00437	336	Swine	H1N2	Belgium	1999	Influenza A virus (A/swine/Gent/7625/1999(H1N2))
AAT00438	344	Swine	H1N1	Belgium	1998	Influenza A virus (A/sw/Belgium/1/98(H1N1))
AAT02538	452	Avian	H7	Canada	2004	Influenza A virus (A/chicken/Vancouver/2004/1/04(H7N?))
AAT07996	564	Avian	H5N7	Denmark	2003	Influenza A virus (A/mallard/Denmark/64650/03(H5N7))
AAT07998	566	Avian	H3N8	Denmark	2003	Influenza A virus (A/mallard/65112/03(H3N8))
AAT08000	566	Human	H3N2	USA	2003	Influenza A virus (A/Wyoming/03/2003(H3N2))
AAT08002	566	Human	H3N2	Russia	1999	Influenza A virus (A/Moscow/10/1999(H3N2))
AAT08004	566	Avian	H3N2	United Kingdom	1969	Influenza A virus (A/turkey/England/1969(H3N2))
AAT09637	206	Avian	H3N	Russia	2002	Influenza A virus (A/common teal/Chany/N1/02(H3/N?))
AAT09638	206	Avian	H3N	Russia	2002	Influenza A virus (A/common teal/Chany/N2/02(H3/N?))
AAT09639	206	Avian	H3N	Russia	2002	Influenza A virus (A/garganey/Chany/N3/02(H3/N?))
AAT09640	153	Avian	H4	Russia	2002	Influenza A virus (A/garganey/Chany/N4/02(H4/N?))
AAT09641	153	Avian	H4	Russia	2002	Influenza A virus (A/common teal/Chany/N5/02(H4/N?))
AAT09642	153	Avian	H4	Russia	2002	Influenza A virus (A/common teal/Chany/N6/02(H4/N?))
AAT12022	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Fujian/01/2002(H5N1))
AAT12023	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Fujian/13/2002(H5N1))
AAT12024	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Fujian/19/2000(H5N1))
AAT12025	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Guangdong/01/2001(H5N1))
AAT12026	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Guangdong/12/2000(H5N1))
AAT12027	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Guangdong/22/2002(H5N1))
AAT12028	568	Avian	H5N1	China	1999	Influenza A virus (A/duck/Guangxi/07/1999(H5N1))
AAT12029	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Guangxi/22/2001(H5N1))
AAT12030	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Guangxi/35/2001(H5N1))
AAT12031	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Guangxi/53/2002(H5N1))
AAT12032	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Shanghai/13/2001(H5N1))
AAT12033	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Shanghai/35/2002(H5N1))
AAT12034	568	Avian	H5N1	China	2002	Influenza A virus (A/duck/Shanghai/37/2002(H5N1))
AAT12035	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Shanghai/08/2001(H5N1))
AAT12036	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Zhejiang/11/2000(H5N1))
AAT12037	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Fujian/17/2001(H5N1))
AAT12038	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Guangdong/07/2000(H5N1))
AAT12039	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Guangdong/40/2000(H5N1))
AAT12040	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Guangxi/50/2001(H5N1))
AAT12041	568	Avian	H5N1	China	2001	Influenza A virus (A/duck/Shanghai/38/2001(H5N1))
AAT12042	568	Avian	H5N1	China	2000	Influenza A virus (A/duck/Zhejiang/52/2000(H5N1))
AAT12654	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/59/2003(H3N2))
AAT12655	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/58/2003(H3N2))
AAT12656	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/07/2003(H3N2))
AAT12657	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/32/2003(H3N2))
AAT12658	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/24/2003(H3N2))
AAT12659	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/60/2003(H3N2))
AAT12660	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/63/2003(H3N2))
AAT12661	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/10/2003(H3N2))
AAT12662	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/20/2003(H3N2))
AAT12663	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/41/2003(H3N2))
AAT12664	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/61/2003(H3N2))
AAT12665	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/16-2/2003(H3N2))
AAT12666	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/70/2003(H3N2))
AAT12667	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/52/2003(H3N2))
AAT12668	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/19-2/2003(H3N2))
AAT12669	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/14-2/2003(H3N2))
AAT12670	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/92/2003(H3N2))
AAT12671	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/13/2003(H3N2))
AAT12672	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/39/2003(H3N2))
AAT12673	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/37/2003(H3N2))
AAT12674	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/18-2/2003(H3N2))
AAT12675	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/15-2/2003(H3N2))
AAT12676	566	Human	H3N2	Denmark	2003	Influenza A virus (A/Denmark/17-2/2003(H3N2))
AAT12703	237	Swine	H3N1	Taiwan	2001	Influenza A virus (A/swine/Chiai/77-10/2001(H3N1))
AAT12704	566	Swine	H3N2	Taiwan	2002	Influenza A virus (A/swine/Pingtung/199-2/2002(H3N2))
AAT12706	320	Swine	H1N1	Taiwan	2002	Influenza A virus (A/swine/Taichung/200-8/2002(H1N1))
AAT37403	560	Avian	H7N3	Italy	2002	Influenza A virus (A/turkey/Italy/214845/2002(H7N3))
AAT37404	560	Avian	H7N3	Italy	2002	Influenza A virus (A/turkey/Italy/220158/2002(H7N3))
AAT37405	560	Avian	H7N3	Italy	2001	Influenza A virus (A/mallard/Italy/43/2001(H7N3))
AAT37406	560	Avian	H7N3	Italy	2001	Influenza A virus (A/mallard/Italy/33/01(H7N3))
AAT37508	146	Avian	H9N2	Israel	2004	Influenza A virus (A/turkey/Givat Haim Ehud/1544/04(H9N2))
AAT37563	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Guangdong/174/04(H5N1))
AAT38819	567	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/04(H7N3))
AAT39065	551	Human	H5N1	Hong Kong	2003	Influenza A virus (A/HK/212/03 (H5N1))
AAT39066	531	Human	H5N1	Hong Kong	2003	Influenza A virus (A/Hong Kong/213/2003(H5N1))
AAT39067	559	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/goose/Hong Kong/739.2/2002(H5N1))
AAT39068	561	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/egret/Hong Kong/757.3/2002(H5N1))
AAT39073	485	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/G.H/HK/793.1/02 (H5N1))
AAT39074	559	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/duck/Hong Kong/821/2002(H5N1))
AAT39075	566	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ck/HK/31.4/02 (H5N1))
AAT39076	565	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ck/HK/61.9/02 (H5N1))
AAT39077	549	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ck/HK/YU777/02 (H5N1))
AAT39078	566	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ck/HK/96.1/02 (H5N1))
AAT39079	560	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ck/HK/409.1/02 (H5N1))
AAT39080	550	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/Ph/HK/675.14/02 (H5N1))
AAT45076	538	Avian	H9N2	China	1998	Influenza A virus (A/chicken/Beijing/9/98(H9N2))
AAT51806	324	Human	H3N2	France	2000	Influenza A virus (A/France/1/00(H3N2))
AAT51807	329	Human	H3N2	France	2000	Influenza A virus (A/France/2/00(H3N2))
AAT51808	329	Human	H3N2	France	2000	Influenza A virus (A/France/3/00(H3N2))
AAT51809	329	Human	H3N2	France	2000	Influenza A virus (A/France/4/00(H3N2))
AAT51810	329	Human	H3N2	France	2000	Influenza A virus (A/France/5/00(H3N2))
AAT51811	329	Human	H3N2	France	2000	Influenza A virus (A/France/6/00(H3N2))
AAT51812	329	Human	H3N2	France	2000	Influenza A virus (A/France/7/00(H3N2))
AAT51813	329	Human	H3N2	France	2000	Influenza A virus (A/France/8/00(H3N2))
AAT51814	329	Human	H3N2	France	2000	Influenza A virus (A/France/9/00(H3N2))
AAT51815	329	Human	H3N2	France	2000	Influenza A virus (A/France/10/00(H3N2))
AAT51816	329	Human	H3N2	France	2000	Influenza A virus (A/France/11/00(H3N2))
AAT51817	329	Human	H3N2	France	2000	Influenza A virus (A/France/12/00(H3N2))
AAT51818	329	Human	H3N2	France	2000	Influenza A virus (A/France/13/00(H3N2))
AAT51819	329	Human	H3N2	France	2000	Influenza A virus (A/France/14/00(H3N2))
AAT51820	329	Human	H3N2	France	2000	Influenza A virus (A/France/15/00(H3N2))
AAT51821	329	Human	H3N2	France	2000	Influenza A virus (A/France/16/00(H3N2))
AAT51822	329	Human	H3N2	France	2000	Influenza A virus (A/France/17/00(H3N2))
AAT51823	329	Human	H3N2	France	2000	Influenza A virus (A/France/18/00(H3N2))
AAT51824	329	Human	H3N2	France	2000	Influenza A virus (A/France/19/00(H3N2))
AAT51825	329	Human	H3N2	France	2000	Influenza A virus (A/France/20/00(H3N2))
AAT51826	329	Human	H3N2	France	2000	Influenza A virus (A/France/21/00(H3N2))
AAT51827	329	Human	H3N2	France	2000	Influenza A virus (A/France/22/00(H3N2))
AAT51828	329	Human	H3N2	France	2000	Influenza A virus (A/France/23/00(H3N2))
AAT51829	329	Human	H3N2	France	2000	Influenza A virus (A/France/24/00(H3N2))
AAT51830	329	Human	H3N2	France	2000	Influenza A virus (A/France/25/00(H3N2))
AAT51831	329	Human	H3N2	France	2000	Influenza A virus (A/France/26/00(H3N2))
AAT51832	329	Human	H3N2	France	2000	Influenza A virus (A/France/27/00(H3N2))
AAT51833	329	Human	H3N2	France	2000	Influenza A virus (A/France/28/00(H3N2))
AAT51834	329	Human	H3N2	France	2000	Influenza A virus (A/France/29/00(H3N2))
AAT51835	329	Human	H3N2	France	2000	Influenza A virus (A/France/30/00(H3N2))
AAT51836	329	Human	H3N2	France	2000	Influenza A virus (A/France/31/00(H3N2))
AAT51837	329	Human	H3N2	France	2000	Influenza A virus (A/France/32/00(H3N2))
AAT51838	329	Human	H3N2	France	2000	Influenza A virus (A/France/33/00(H3N2))
AAT51839	329	Human	H3N2	France	2000	Influenza A virus (A/France/34/00(H3N2))
AAT51840	329	Human	H3N2	France	2000	Influenza A virus (A/France/35/00(H3N2))
AAT51841	329	Human	H3N2	France	2000	Influenza A virus (A/France/36/00(H3N2))
AAT51842	329	Human	H3N2	France	2000	Influenza A virus (A/France/37/00(H3N2))
AAT51843	329	Human	H3N2	France	2000	Influenza A virus (A/France/38/00(H3N2))
AAT51844	329	Human	H3N2	France	2000	Influenza A virus (A/France/39/00(H3N2))
AAT51845	329	Human	H3N2	France	2000	Influenza A virus (A/France/40/00(H3N2))
AAT51846	329	Human	H3N2	France	2000	Influenza A virus (A/France/41/00(H3N2))
AAT51847	329	Human	H3N2	France	2000	Influenza A virus (A/France/42/00(H3N2))
AAT51848	329	Human	H3N2	France	2000	Influenza A virus (A/France/43/00(H3N2))
AAT51849	329	Human	H3N2	France	2000	Influenza A virus (A/France/44/00(H3N2))
AAT51850	329	Human	H3N2	France	2000	Influenza A virus (A/France/45/00(H3N2))
AAT51851	329	Human	H3N2	France	2000	Influenza A virus (A/France/46/00(H3N2))
AAT51852	329	Human	H3N2	France	2000	Influenza A virus (A/France/47/00(H3N2))
AAT51853	329	Human	H3N2	France	2000	Influenza A virus (A/France/48/00(H3N2))
AAT51854	329	Human	H3N2	France	2000	Influenza A virus (A/France/49/00(H3N2))
AAT51855	329	Human	H3N2	France	2000	Influenza A virus (A/France/50/00(H3N2))
AAT51856	329	Human	H3N2	France	2000	Influenza A virus (A/France/51/00(H3N2))
AAT51857	329	Human	H3N2	France	2000	Influenza A virus (A/France/52/00(H3N2))
AAT51858	329	Human	H3N2	France	2000	Influenza A virus (A/France/53/00(H3N2))
AAT51859	329	Human	H3N2	France	2000	Influenza A virus (A/France/54/00(H3N2))
AAT64666	363	Human	H3N2	Netherlands	1968	Influenza A virus (A/Bilthoven/16398/68(H3N2))
AAT64667	363	Human	H3N2	Netherlands	1969	Influenza A virus (A/Bilthoven/908/69(H3N2))
AAT64668	363	Human	H3N2	Netherlands	1969	Influenza A virus (A/Bilthoven/17938/69(H3N2))
AAT64669	363	Human	H3N2	Netherlands	1970	Influenza A virus (A/Bilthoven/93/70(H3N2))
AAT64670	363	Human	H3N2	Netherlands	1970	Influenza A virus (A/Bilthoven/2668/70(H3N2))
AAT64671	363	Human	H3N2	Netherlands	1971	Influenza A virus (A/Bilthoven/6449/71(H3N2))
AAT64672	363	Human	H3N2	Netherlands	1971	Influenza A virus (A/Bilthoven/21438/71(H3N2))
AAT64673	363	Human	H3N2	Netherlands	1971	Influenza A virus (A/Bilthoven/21801/71(H3N2))
AAT64674	363	Human	H3N2	Netherlands	1972	Influenza A virus (A/Bilthoven/6022/72(H3N2))
AAT64675	363	Human	H3N2	Netherlands	1972	Influenza A virus (A/Bilthoven/23290/72(H3N2))
AAT64676	363	Human	H3N2	Netherlands	1972	Influenza A virus (A/Bilthoven/23337/72(H3N2))
AAT64677	363	Human	H3N2	Netherlands	1973	Influenza A virus (A/Bilthoven/552/73(H3N2))
AAT64678	363	Human	H3N2	Netherlands	1973	Influenza A virus (A/Bilthoven/748/73(H3N2))
AAT64679	363	Human	H3N2	Netherlands	1973	Influenza A virus (A/Bilthoven/3517/73(H3N2))
AAT64680	363	Human	H3N2	Netherlands	1974	Influenza A virus (A/Bilthoven/9459/74(H3N2))
AAT64681	363	Human	H3N2	Netherlands	1976	Influenza A virus (A/Bilthoven/1761/76(H3N2))
AAT64682	363	Human	H3N2	Netherlands	1976	Influenza A virus (A/Bilthoven/2271/76(H3N2))
AAT64683	363	Human	H3N2	Netherlands	1976	Influenza A virus (A/Bilthoven/5029/76(H3N2))
AAT64684	363	Human	H3N2	Netherlands	1976	Influenza A virus (A/Bilthoven/5657/76(H3N2))
AAT64685	363	Human	H3N2	Netherlands	1976	Influenza A virus (A/Bilthoven/6545/76(H3N2))
AAT64686	363	Human	H3N2	Netherlands	1977	Influenza A virus (A/Bilthoven/3895/77(H3N2))
AAT64687	363	Human	H3N2	Netherlands	1977	Influenza A virus (A/Rotterdam/5828/77(H3N2))
AAT64688	363	Human	H3N2	Netherlands	1977	Influenza A virus (A/Rotterdam/8179/77(H3N2))
AAT64689	363	Human	H3N2	Netherlands	1981	Influenza A virus (A/Bilthoven/4791/81(H3N2))
AAT64690	363	Human	H3N2	Netherlands	1982	Influenza A virus (A/Bilthoven/10684/82(H3N2))
AAT64691	363	Human	H3N2	Norway	1983	Influenza A virus (A/Oslo/13676/83(H3N2))
AAT64692	363	Human	H3N2	Netherlands	1974	Influenza A virus (A/Bilthoven/5931/74(H3N2))
